"title","person","name"
"NAOMI: iNformation Application fOr relatives of patients adMitted to the ICU","https://w3id.org/scholarlydata/person/kevin-claerhout","Kevin Claerhout"
"NAOMI: iNformation Application fOr relatives of patients adMitted to the ICU","https://w3id.org/scholarlydata/person/kirsten-colpaert","Kirsten Colpaert"
"Knowledge Graph Embedding for Ecotoxicological Effect Prediction","https://w3id.org/scholarlydata/person/knut-erik-tollefsen","Knut Erik Tollefsen"
"Qsearch: Answering Quantity Queries from Text","https://w3id.org/scholarlydata/person/koninika-pal","Koninika Pal"
"Knowledge Graph Fact Prediction via Knowledge-Enriched Tensor Factorization","https://w3id.org/scholarlydata/person/konstantinos-kalpakis","Konstantinos Kalpakis"
"RDF Visualizer: A Tool for Displaying, Browsing and Exploring High Density RDF Data","https://w3id.org/scholarlydata/person/korina-doerr","Korina Doerr"
"RDF Visualizer: A Tool for Displaying, Browsing and Exploring High Density RDF Data","https://w3id.org/scholarlydata/person/kostas-petrakis","Kostas Petrakis"
"Ontology-enabled Analysis of Study Populations","https://w3id.org/scholarlydata/person/kristin-p-bennett","Kristin P. Bennett"
"Making Study Populations Visible through Knowledge Graphs","https://w3id.org/scholarlydata/person/kristin-p-bennett","Kristin P. Bennett"
"Optimizing Horn-SHIQ Reasoning for OBDA","https://w3id.org/scholarlydata/person/labinot-bajraktari","Labinot Bajraktari"
"TermIt: A Practical Vocabulary Manager","https://w3id.org/scholarlydata/person/lama-saeeda","Lama Saeeda"
"Visual Queries over Scholarly Data and other Linked Data Endpoints","https://w3id.org/scholarlydata/person/lelde-lace","Lelde Lace"
"L: a robot that communicates and learns about the shared world","https://w3id.org/scholarlydata/person/lenka-bajcetic","Lenka Bajčetić"
"A User Interaction Demonstration For Exploring Medical Knowledge Graph","https://w3id.org/scholarlydata/person/lianfen-miao","Lianfen Miao"
"TransEdge: Translating Relation-contextualized Embeddings for Knowledge Graphs","https://w3id.org/scholarlydata/person/lingbing-guo","Lingbing Guo"
"Monolith: an OBDM and Knowledge Graph Management Platform","https://w3id.org/scholarlydata/person/lorenzo-lepore","Lorenzo Lepore"
"Atlas Of Paths: a Formal Ontology of Historical Pathways in Italy","https://w3id.org/scholarlydata/person/ludovica-marinucci","Ludovica Marinucci"
"ArCo: the Italian Cultural Heritage Knowledge Graph","https://w3id.org/scholarlydata/person/ludovica-marinucci","Ludovica Marinucci"
"Exploring Fact-checked Claims and their Descriptive Statistics","https://w3id.org/scholarlydata/person/malo-gasquet","Malo Gasquet"
"Monolith: an OBDM and Knowledge Graph Management Platform","https://w3id.org/scholarlydata/person/manuel-namici","Manuel Namici"
"Querying Enterprise Knowledge Graph With Natural Language","https://w3id.org/scholarlydata/person/maochen-guan","Maochen Guan"
"Methods and Techniques for Data Quality Improvement of (Linked) (Open) Data","https://w3id.org/scholarlydata/person/maria-angela-pellegrino","Maria Angela Pellegrino"
"ArCo: the Italian Cultural Heritage Knowledge Graph","https://w3id.org/scholarlydata/person/maria-letizia-mancinelli","Maria Letizia Mancinelli"
"RDF Visualizer: A Tool for Displaying, Browsing and Exploring High Density RDF Data","https://w3id.org/scholarlydata/person/maria-theodoridou","Maria Theodoridou"
"Semantic Technologies for the Production and Publication of Open Data in ACI - Automobile Club d’Italia","https://w3id.org/scholarlydata/person/mario-punchina","Mario Punchina"
"Graph-KD: Exploring Relational Information for Knowledge Discovery","https://w3id.org/scholarlydata/person/mark-stevenson","Mark Stevenson"
"DBpedia FlexiFusion - Best of Wikipedia > Wikidata > Your Data","https://w3id.org/scholarlydata/person/marvin-hofer","Marvin Hofer"
"PoLyInfo RDF: A Semantically Reinforced Polymer Database for Materials Informatics","https://w3id.org/scholarlydata/person/masashi-ishii","Masashi Ishii"
"Exploring Fact-checked Claims and their Descriptive Statistics","https://w3id.org/scholarlydata/person/matthaus-zloch","Matthäus Zloch"
"Towards Semantically Structuring GitHub","https://w3id.org/scholarlydata/person/matthias-bockmann","Matthias Böckmann"
"SemanGit: A Linked Dataset from git","https://w3id.org/scholarlydata/person/matthias-bockmann","Matthias Böckmann"
"Semantic Web for Machine Translation: Challenges and Directions","https://w3id.org/scholarlydata/person/matthias-wauer","Matthias Wauer"
"Semantic Technologies for the Production and Publication of Open Data in ACI - Automobile Club d’Italia","https://w3id.org/scholarlydata/person/mauro-minenna","Mauro Minenna"
